symbol	uniprot_ids
A1BG	V9HWD8,P04217,M0R009
A1BG-AS1	
A1CF	Q9NQ94,F8W9F8
A2M	F5H1E8,P01023,H0YFH1,F8W7L3
A2M-AS1	
A2ML1	A8K2U0,H0YGG5,F5GYG7,F5GXP1
A2ML1-AS1	
A2ML1-AS2	
A2MP1	
A3GALT2	U3KPV4
A4GALT	Q9NPC4,A0A0S2Z5J1
A4GNT	Q9UNA3
AAAS	F8VUB6,Q9NRG9,F8VZ44,H3BU82
AACS	E7EW25,Q86V21
AACSP1	
AADAC	P22760,C9K0E9
AADACL2	F8WFE5,Q6P093
AADACL2-AS1	
AADACL3	Q5VUY0
AADACL4	Q5VUY2
AADACP1	
AADAT	Q4W5N8,Q8N5Z0,D6RFY7,D6REB9,D6RC56
AAGAB	Q6PD74,H0YL49
AAK1	A0A096LNZ0,A0A096LP25,E9PG46,Q2M2I8,A0A096LP60
AAMDC	E9PR47,K4DI89,H0YF35,Q9H7C9,E9PIQ4,E9PLK9,E9PJP1
AAMP	C9JEH3,Q13685,C9JG97,C9JTS3
AANAT	K7ERF6,K7ESH7,Q16613,F1T0I5
AAR2	Q9Y312,A2A2Q9,A0A7P0TA70,A0A7P0T8J7
AARD	Q4LEZ3
AARS1	A0A6Q8PF33,A0A6Q8PG62,A0A6Q8PFY2,A0A6Q8PH44,A0A6Q8PF77,A0A6Q8PFK3,A0A6Q8PGE8,A0A6Q8PHP3,P49588,A0A6Q8PGI8,A0A6Q8PGN5,A0A6Q8PGR9,A0A6Q8PGB5,A0A6Q8PHN5,A0A6Q8PG28,A0A6Q8PHJ2,A0A6Q8PHP7,H3BPK7
AARS1P1	
AARS2	Q5JTZ9
AARSD1	K7N799,Q9BTE6,L7N2F4,L7N2F5
AARSD1P1	
AASDH	R4GNB1,Q4L235,D6RJA2,E9PH98
AASDHPPT	Q9NRN7,E9PLW6,E9PNF3
AASS	F8WAH1,A0A7P0T9N4,Q9UDR5,A0A7P0TA09,A0A7P0TAY5,A4D0W4,A0A7P0Z4M3,A0A7P0T8W7,A0A7P0TBD2,A0A7P0TA62,A0A7P0TB07,A0A7P0Z428,F8WE53
AATBC	
AATF	A0A7P0T868,A0A087WWS8,Q9NY61,A0A087WTH8,A0A087WW41,A0A7P0Z4P2,A0A7P0TAR0,A0A7P0TBI0,A0A7P0TBG4,A0A7P0Z4N2,A0A7P0Z434
AATK	A0A3B3ISX0,A0A3B3ISA0,H7C175,Q6ZMQ8,I3L360,A0A3B3ISC2,I3L461
ABALON	
ABAT	X5D8S1,P80404,H3BP84,H3BRJ1,H3BP74,H3BRN4,H3BPW8,H3BNQ7,H3BMJ9,H3BRT1
ABCA1	O95477,B1AMI2,B1AMI1,A0A7I2V5U0
ABCA10	Q8WWZ4,K7ERP5,E5RFP5,E5RFN6
ABCA11P	
ABCA12	Q86UK0,E9PBK1
ABCA13	H0Y4D2,A0A0A0MT16
ABCA15P	
ABCA17P	
ABCA2	Q9BZC7,H0Y8E3,H0Y8C9,E9PGB2
ABCA3	Q99758,H0Y3H2
ABCA3P1	
ABCA4	A0A3B3IRV8,P78363
ABCA5	A0A075B778,Q8WWZ7,Q6N017,K7EQ50,K7EPM3,K7EMV2,K7EKS9,K7EJW6
ABCA6	Q8N139
ABCA7	Q8IZY2,A0A087WZX6,E9PKG5,A0A6E1ZGS3,E9PL63
ABCA8	A0A0A0MSU4,O94911,K7ELK9
ABCA9	Q8IUA7,K7EJJ0,H0Y4U7
ABCA9-AS1	
ABCB1	A4D1D2,P08183,E7EWT8
ABCB10	Q9NRK6
ABCB10P1	
ABCB10P3	
ABCB10P4	
ABCB11	O95342,Q53S60,A0A3B3IS78,H7C486
ABCB4	A0A2R8Y291,E7EQI1,P21439,A0A2R8Y8A1
ABCB5	Q2M3G0,H7C165
ABCB6	Q9NP58,H7C1R6
ABCB7	A0A0S2Z2Z3,A0A2R8Y473,O75027,A0A5F9ZA98,E9PJR8,B4DGL8,A0A2R8YF35,A0A590UJS8,E9PNQ5,A0A087WW65
ABCB8	F2Z2Z1,F8WC43,C9JTY4,F2Z3G8,Q9NUT2,C9JYI3,C9JA03
ABCB9	F5H5Q0,Q9NP78,F5H0G0,H7C478,F5H7U2,F5H4Y2,F5GYI2,F5GXZ5,F5H5I5,F5GX86,F5H5F9
ABCC1	A0A7I2V4C6,P33527,A0A0A0MS99,A0A7I2V2E0
ABCC10	Q5T3U5,D6R9B3,H0Y904
ABCC11	H3BRJ2,Q96J66
ABCC12	A0A8I5QJT3,A0A8J8YUR7,B4DYN2,A0A8I5KPE2,E9PHY2
ABCC13	
ABCC2	A0A3B3IS94,Q92887,A0A3B3IRZ2,A0A3B3IRU4
ABCC3	D6RAB7,O15438,D6RJE5,H0Y8T5
ABCC4	A0A2R8Y6V8,A0A2R8YDC1,Q8IWU1,O15439,A0A2R8YDG7,A0A2R8Y5Z3
ABCC5	F8WDH3,F8WCY8,C9JZL5,O15440,A5PKY6,E9PET4
ABCC5-AS1	
ABCC6	A0A804HJ04,I3L1Z6,O95255,A0A1W2PPQ8,A0A0J9YVW5,A0A0G2JMG3,A0A8C8Q0G8
ABCC6P1	
ABCC6P2	
